"","cve_ent","mpio","poblacion_2022","hogrem2015","hogremjefmuj2015","popnoafmed2015","gini2015","popden2020","crimen_2018","crimen_2019","inclusion_fin_2019","porcentaje_pob_pobreza","porcentaje_pob_pobreza_ext","porcentaje_pob_servicios_salud","porcentaje_pob_acceso_ss","pob_6.14_no_edu","rezago_social","grado_rs","feb_2020","march_2020","april_2020","may_2020","june_2020","july_2020","august_2020","sept_2020","oct_2020","nov_2020","dic_2020","jan_2021","feb_2021","mar_2021...32","mar_2021...33","april_2021","may_2021","june_2021","july_2021","august_2021","sept_2021","oct_2021","nov_2021","dic_2021","ent_id","n","entidad"
"1",1001,"Aguascalientes",961977,4.819,27.827,14.337,0.392,811.991,7.36,8.15,1.78,23.68,1.97,20.02,37.77,4.6,-1.32,"Muy bajo",0,45,213,520,1168,1271,1385,1364,2388,3965,2370,3271,1498,1310,1310,826,401,221,1140,2944,2121,1560,1126,2067,1,2257,"Aguascalientes"
"2",1002,"Asientos",50864,12.867,22.054,5.774,0.37,94.087,7.81,5.78,0,40.13,4.14,16.47,62.09,6.29,-0.86,"Muy bajo",0,1,1,7,21,42,17,13,46,94,73,64,42,21,21,14,6,2,6,49,23,33,16,14,1,28,"Aguascalientes"
"3",1003,"Calvillo",60760,25.85,25.596,9.974,0.375,62.549,8.4,8.31,1.16,45.76,4.5,21.03,76.15,6.95,-0.92,"Muy bajo",0,0,9,2,25,89,18,41,64,185,116,186,151,73,73,19,3,0,37,82,22,57,32,68,1,89,"Aguascalientes"
"4",1004,"Cosio",16918,14.294,21.171,5.283,0.37,131.885,17.86,0,0,37.04,3.38,17.59,47.52,5.7,-1,"Muy bajo",0,0,0,17,25,25,17,2,6,13,2,9,7,0,0,2,1,4,1,4,1,4,4,4,1,10,"Aguascalientes"
"5",1005,"Jesus Maria",130184,5.721,19.892,14.024,0.402,260.285,5.14,10.98,0.36,26.34,3.29,21.08,41.87,5.88,-1.17,"Muy bajo",0,1,12,21,42,65,71,65,93,104,73,78,73,38,38,27,14,8,35,116,95,78,45,95,1,97,"Aguascalientes"
"6",1006,"Pabellon de Arteaga",50032,11.858,26.121,10.23,0.389,239.019,4.32,0,1.2,28.92,2.88,21.09,45.29,4.44,-1.17,"Muy bajo",0,5,6,26,57,69,40,82,109,192,87,90,46,34,34,15,3,3,10,74,38,39,38,18,1,68,"Aguascalientes"
"7",1007,"Rincon de Romos",57981,11.658,24.994,10.801,0.396,153.833,7.33,5.43,1.03,40.51,5.56,22.35,58.1,4.38,-1.07,"Muy bajo",0,1,10,40,88,153,85,47,74,73,16,42,34,10,10,11,13,3,11,52,79,66,61,30,1,61,"Aguascalientes"
"8",1008,"San Jose de Gracia",9661,20.247,31.131,5.834,0.418,11.147,0,0,0,45.77,2.32,8.14,74,5.74,-0.96,"Muy bajo",0,0,4,1,18,26,6,3,9,13,14,9,7,4,4,5,0,1,2,12,11,5,2,0,1,5,"Aguascalientes"
"9",1009,"Tepezala",22743,14.228,19.139,8.344,0.371,98.239,4.49,4.43,0,37.65,3.15,17.03,59.4,5.37,-0.9,"Muy bajo",0,1,1,24,43,48,24,14,19,24,18,22,8,8,8,2,0,1,1,19,34,12,10,6,1,16,"Aguascalientes"
"10",1010,"El Llano",21947,13.499,20.401,8.748,0.37,41.635,0,0,0,40.61,4.81,22.98,59.71,4.4,-0.83,"Muy bajo",0,0,1,3,3,7,4,4,6,2,11,7,4,5,5,6,3,0,2,3,11,22,14,11,1,8,"Aguascalientes"
"11",1011,"San Francisco de los Romo",51568,8.236,20.931,12.003,0.366,462.423,7.05,16.21,0.33,37.79,5.93,23.71,42.6,6.43,-1.08,"Muy bajo",0,0,4,8,20,17,13,14,20,49,35,35,21,6,6,8,4,2,12,31,40,23,19,27,1,35,"Aguascalientes"
"12",2001,"Ensenada",536143,6.041,33.247,14.15,0.373,8.543,36.84,41.07,1.32,22.3,2.06,19.47,49.9,5.46,-0.97,"Muy bajo",0,5,86,256,721,933,725,549,570,1120,1774,1415,470,203,203,116,60,138,376,893,929,1884,1827,1832,2,806,"Baja California"
"13",2002,"Mexicali",1087478,5.914,30.137,15.727,0.365,76.688,10.79,9.08,1.51,20.22,1.08,18.6,43.68,4.88,-1.24,"Muy bajo",0,69,809,2370,2815,1971,960,906,1332,1803,2636,1736,562,442,442,549,942,658,684,1391,1839,3078,4854,3664,2,1944,"Baja California"
"14",2003,"Tecate",113857,7.035,29.408,11.652,0.364,35.219,51.92,63.23,1.02,21.11,1.21,21.81,51.43,6.04,-1.02,"Muy bajo",0,1,89,87,82,144,147,146,165,203,279,138,46,32,32,18,14,29,48,151,111,271,487,380,2,161,"Baja California"
"15",2004,"Tijuana",1789531,6.069,31.285,21.564,0.361,2186.673,102.35,84.07,1.32,23.7,1.86,27.45,45.61,7.63,-1.15,"Muy bajo",0,109,1400,1151,818,1259,1270,1138,987,1665,3142,2817,883,580,580,351,346,379,810,1701,1326,3072,4277,4669,2,3275,"Baja California"
"16",2005,"Playas de Rosarito",107859,8.565,30.852,19.616,0.372,247.204,65.95,86.34,1.55,31.23,2.16,29.46,64.32,7.75,-0.96,"Muy bajo",0,2,26,40,50,78,100,74,64,74,230,183,73,51,51,17,12,30,63,184,92,337,382,322,2,181,"Baja California"
"17",3001,"Comondu",83051,2.93,27.472,9.149,0.395,5.82,12.91,3.44,0.92,34.95,4.28,11.66,48.6,3.56,-0.81,"Muy bajo",0,0,7,49,103,189,138,105,187,194,315,519,141,110,110,85,44,193,828,686,214,56,218,357,3,91,"Baja California Sur"
"18",3002,"Mulege",67727,1.278,24.925,9.804,0.373,1.935,22.15,14.85,1.65,24.11,3.16,18.66,43.96,5.62,-0.57,"Bajo",0,0,7,67,198,277,106,124,153,184,201,531,184,86,86,139,69,66,158,358,313,182,126,253,3,71,"Baja California Sur"
"19",3003,"La Paz",301961,1.921,27.956,12.969,0.403,14.414,22.35,10.28,1.87,20.61,1.89,14.22,36.68,3.32,-1.1,"Muy bajo",0,8,124,139,382,1583,1802,1534,1016,856,1513,2388,1364,1057,1057,952,673,2337,2808,1708,614,244,516,2998,3,607,"Baja California Sur"
"20",3008,"Los Cabos",330312,2.251,27.79,17.384,0.389,101.727,20.35,11.15,2.22,31.7,4.77,21.19,41.14,4.77,-0.76,"Muy bajo",0,34,173,80,262,941,924,634,793,711,1182,1881,912,693,693,624,1252,5843,4386,894,291,141,182,3524,3,363,"Baja California Sur"
"21",3009,"Loreto",21657,3.632,31.347,11.585,0.411,4.187,13.01,4.22,1.13,34.08,2.94,12.66,43.81,4.39,-0.89,"Muy bajo",0,0,0,4,110,69,110,126,200,82,171,221,138,34,34,44,12,55,412,423,87,18,35,140,3,22,"Baja California Sur"
"22",4001,"Calkini",63298,0.457,20.339,10.252,0.436,30.119,1.66,3.29,0.89,62.84,17.78,19.51,64.5,2.82,-0.43,"Bajo",0,0,3,18,52,106,43,11,5,0,4,14,9,10,10,3,1,21,43,90,99,20,8,2,4,77,"Campeche"
"23",4002,"Campeche",317424,1.158,35.273,10.13,0.435,86.223,5.36,2.64,1.67,32.53,4.7,18.79,42.94,3.2,-1.14,"Muy bajo",0,3,28,152,816,1039,360,163,170,145,248,369,188,263,263,224,386,783,1434,2982,1046,397,104,124,4,544,"Campeche"
"24",4003,"Carmen",275478,1.49,30.71,16.698,0.443,25.601,10.06,15.63,1.86,35.36,7.63,24.42,49.96,6.69,-0.92,"Muy bajo",0,5,77,329,643,736,244,145,116,126,169,246,139,156,156,140,144,574,694,869,825,382,74,61,4,286,"Campeche"
"25",4004,"Champoton",99945,3.158,25.842,11.051,0.404,12.839,10.49,4.14,1.13,57.17,12.11,19.62,67.74,5.91,-0.45,"Bajo",0,0,3,25,64,99,44,16,13,7,7,28,17,13,13,15,11,52,166,545,207,49,6,4,4,59,"Campeche"
"26",4005,"Hecelchakan",34683,1.033,19.265,15.117,0.43,23.962,0,0,0.42,66.68,16.6,15.2,63.73,10.72,-0.45,"Bajo",0,0,3,20,43,84,74,24,2,2,5,16,12,7,7,5,38,49,42,83,90,14,2,1,4,26,"Campeche"
"27",4006,"Hopelchen",44051,1.042,14.441,13.095,0.43,5.649,0,0,0.32,74.85,21.72,25.06,82.52,19.76,0.04,"Bajo",0,0,0,2,23,80,42,8,1,1,1,17,6,2,2,14,69,85,38,32,18,9,4,0,4,21,"Campeche"
"28",4007,"Palizada",9868,0.65,21.373,4.949,0.41,4.191,11.14,0,0,59.86,13.72,9.9,81.13,5.11,-0.31,"Bajo",0,0,0,7,1,32,4,5,0,0,3,0,4,3,3,1,0,1,23,80,38,16,4,0,4,12,"Campeche"
"29",4008,"Tenabo",11930,0.617,21.75,5.701,0.388,12.984,9.08,8.97,0,53.86,10.6,21.52,63.64,9.16,-0.34,"Bajo",0,0,1,6,30,11,3,2,2,0,0,6,3,1,1,20,9,10,8,17,12,7,1,0,4,11,"Campeche"
"30",4009,"Escarcega",63495,5.723,28.994,8.62,0.405,13.113,12.84,12.65,1.32,68.06,17.83,17.69,77.58,6.99,-0.38,"Bajo",0,0,0,18,175,180,89,18,20,27,30,37,24,17,17,6,31,124,299,511,182,57,5,4,4,57,"Campeche"
"31",4010,"Calakmul",31723,4.014,21.114,7.937,0.436,2.292,22.34,6.27,0.45,82.97,30.26,22.55,86.31,6.51,0.32,"Medio",0,0,1,4,16,9,9,11,12,7,8,17,7,15,15,5,12,34,54,188,56,28,2,0,4,11,"Campeche"
"32",4011,"Candelaria",48722,4.883,24.249,11.778,0.402,8.501,37.92,22.83,0.58,80.45,30.96,26.33,88.61,9.34,0.41,"Medio",0,0,10,16,15,43,46,6,1,6,3,8,7,3,3,2,1,26,21,75,45,10,1,1,4,30,"Campeche"
"33",5001,"Abasolo",1130,12.464,17.681,14.089,0.49,1.582,0,0,0,10.97,0.64,41.49,65.56,4.31,-1.28,"Muy bajo",0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,1,2,0,1,5,4,5,3,"Coahuila de Zaragoza"
"34",5002,"Acu̱a",163157,6.066,29.039,12.546,0.352,14.194,3.95,4.56,1.44,23.45,1.51,20.53,29.3,4.97,-1.19,"Muy bajo",0,0,8,29,520,881,248,167,124,154,316,592,180,59,59,51,18,11,291,460,144,75,79,80,5,165,"Coahuila de Zaragoza"
"35",5003,"Allende",24705,8.799,26.008,7.35,0.357,116.034,0,3.88,2.09,24.8,1.4,23.25,37.71,9.23,-1.22,"Muy bajo",0,0,2,1,15,110,109,23,40,129,105,139,39,4,4,2,6,1,12,49,20,5,4,48,5,38,"Coahuila de Zaragoza"
"36",5004,"Arteaga",25477,1.543,17.914,16.677,0.504,16.264,3.94,3.9,0.52,29.01,3.19,44.07,55.31,4.68,-1.05,"Muy bajo",0,0,2,0,11,5,18,18,20,6,9,26,8,6,6,2,3,2,10,90,51,22,14,13,5,19,"Coahuila de Zaragoza"
"37",5005,"Candela",1945,3.269,21.538,17.5,0.471,0.713,0,0,0,33.39,4.61,17.6,64.98,14.44,-0.71,"Bajo",0,0,0,0,0,1,1,0,5,0,2,7,0,0,0,2,0,0,0,22,0,2,2,1,5,4,"Coahuila de Zaragoza"
"38",5006,"Casta̱os",30568,5.262,16.825,8.932,0.342,9.97,3.5,10.4,0.94,33.75,4.22,21.96,33.37,5.05,-1.17,"Muy bajo",0,6,16,8,8,26,53,33,31,54,51,81,34,30,30,15,23,1,22,80,37,46,21,56,5,24,"Coahuila de Zaragoza"
"39",5007,"Cuatro Cienegas",14623,3.815,20.507,5.308,0.395,1.618,14.23,0,0,33,6.46,30.14,58.46,6.64,-0.77,"Muy bajo",0,0,2,11,8,22,80,27,125,183,131,122,41,11,11,8,2,16,25,50,84,65,130,163,5,11,"Coahuila de Zaragoza"
"40",5008,"Escobedo",3353,16.97,19.932,16.152,0.54,3.129,0,0,0,29.07,3.83,33.98,62.21,5.31,-0.96,"Muy bajo",0,0,2,0,0,1,3,0,3,2,4,11,4,1,1,0,0,0,1,1,1,2,0,3,5,1,"Coahuila de Zaragoza"
"41",5009,"Francisco I. Madero",64483,5.656,25.276,12.406,0.452,11.965,6.52,11.29,1.54,31.77,3.47,27.86,49.88,5.88,-1.03,"Muy bajo",0,0,2,63,156,375,127,73,152,204,154,133,92,15,15,21,7,23,24,59,144,85,189,157,5,66,"Coahuila de Zaragoza"
"42",5010,"Frontera",87942,2.958,19.802,10.074,0.367,162.607,2.42,7.2,1.3,22.25,1.74,14.25,27.95,5.26,-1.3,"Muy bajo",0,11,31,25,53,191,192,175,160,168,238,260,81,28,28,5,12,3,82,262,147,110,167,301,5,46,"Coahuila de Zaragoza"
"43",5011,"General Cepeda",13501,1.745,17.302,6.944,0.432,3.382,0,0,0,37.06,3.1,27.38,47.22,5.4,-0.92,"Muy bajo",0,0,0,1,0,5,8,10,31,4,3,11,3,2,2,0,1,1,5,46,40,17,6,12,5,10,"Coahuila de Zaragoza"
"44",5012,"Guerrero",1964,10.959,16.634,21.391,0.441,0.51,87.25,0,0,23.83,3.07,16.25,43.62,8.43,-0.74,"Muy bajo",0,0,0,0,2,3,1,8,5,3,0,2,0,0,0,0,0,0,0,3,4,1,0,1,5,1,"Coahuila de Zaragoza"
"45",5013,"Hidalgo",1888,7.925,32.168,36.805,0.458,1.071,0,0,0,24.15,5.85,47.89,63.84,11.05,-0.9,"Muy bajo",0,0,0,0,0,0,3,2,1,0,0,12,0,0,0,0,0,0,0,1,2,1,0,0,5,3,"Coahuila de Zaragoza"
"46",5014,"Jimenez",10994,11.465,31.14,16.792,0.433,3.125,0,0,0,24.07,3.76,18.05,43.45,6.43,-0.72,"Muy bajo",0,1,0,0,2,5,22,1,1,0,1,8,9,9,9,0,0,1,5,2,2,0,0,1,5,6,"Coahuila de Zaragoza"
"47",5015,"Juarez",1722,16.009,17.325,10.165,0.44,0.533,54.72,0,0,29.38,1.85,30.06,81.91,5.51,-1.01,"Muy bajo",0,0,3,1,0,0,0,1,0,11,2,0,0,0,0,0,0,0,1,2,0,2,1,1,5,5,"Coahuila de Zaragoza"
"48",5016,"Lamadrid",1984,8.922,20.26,10.829,0.596,3.481,0,0,0,16.46,0.82,13.15,51.13,5.37,-1.1,"Muy bajo",0,0,0,0,0,8,10,6,16,7,15,15,3,2,2,0,0,1,3,8,2,1,0,1,5,2,"Coahuila de Zaragoza"
"49",5017,"Matamoros",119492,6.155,24.453,19.815,0.411,117.901,8.52,10.12,0.57,27.91,2.37,25.77,41.25,6.08,-1.04,"Muy bajo",0,1,15,42,155,195,129,48,175,264,154,96,59,50,50,42,18,12,34,73,96,73,124,119,5,75,"Coahuila de Zaragoza"
"50",5018,"Monclova",251346,2.647,22.637,10.389,0.383,160.702,7.98,9.15,1.78,22.81,2.41,19.47,29.22,4.52,-1.36,"Muy bajo",0,35,183,80,125,592,1145,751,970,968,974,1017,270,105,105,39,28,37,289,555,315,329,394,655,5,385,"Coahuila de Zaragoza"
"51",5019,"Morelos",9430,12.067,21.892,7.64,0.383,13.078,0,0,0,22.94,2.11,15.59,43.49,3.95,-1.28,"Muy bajo",0,1,0,1,9,20,9,5,5,23,41,62,18,3,3,0,0,0,13,12,5,3,3,2,5,5,"Coahuila de Zaragoza"
"52",5020,"Muzquiz",75647,6.973,23.556,7.833,0.376,8.811,9.65,16.38,1.1,28.97,2.07,18.29,34.48,5.82,-1.1,"Muy bajo",0,1,3,5,124,218,251,172,158,172,317,257,50,7,7,6,10,6,54,300,319,158,164,148,5,52,"Coahuila de Zaragoza"
"53",5021,"Nadadores",7152,3.717,18.172,8.558,0.412,7.834,0,0,0,16.79,0.65,10.15,31.41,4.93,-1.16,"Muy bajo",0,0,1,1,2,11,18,18,22,15,8,14,2,5,5,0,0,2,15,8,13,15,5,20,5,3,"Coahuila de Zaragoza"
"54",5022,"Nava",33101,5.839,19.812,9.841,0.335,41.159,9.76,6.43,0.44,24.41,1.5,17.85,31.66,6.07,-1.23,"Muy bajo",0,0,2,3,25,71,76,50,108,79,131,152,34,13,13,2,1,11,59,74,31,25,23,34,5,26,"Coahuila de Zaragoza"
"55",5023,"Ocampo",11628,4.315,16.339,11.918,0.404,0.365,0,24.77,0,34.15,4.52,7.76,46.9,8.63,-0.43,"Bajo",0,0,1,24,9,2,13,2,12,22,26,19,4,4,4,3,1,3,7,7,1,4,4,2,5,7,"Coahuila de Zaragoza"
"56",5024,"Parras",48694,1.208,22.924,9.875,0.406,4.797,10.37,12.33,1.1,30,3.21,21,38.22,4.38,-1.03,"Muy bajo",0,1,0,7,30,132,103,101,120,40,24,173,218,100,100,31,15,33,126,372,276,80,43,79,5,46,"Coahuila de Zaragoza"
"57",5025,"Piedras Negras",177255,6.486,23.576,14.566,0.371,192.876,11.99,8.3,1.78,22.55,1.67,22.71,34.35,6.2,-1.3,"Muy bajo",0,4,50,46,331,1578,1145,350,466,401,567,1076,352,132,132,72,81,133,563,611,273,120,249,323,5,364,"Coahuila de Zaragoza"
"58",5026,"Progreso",3654,11.934,18.519,10.623,0.466,1.743,0,26.89,0,27.73,2.18,19.2,41.75,6.92,-0.84,"Muy bajo",0,0,1,0,8,4,1,3,1,8,1,1,2,0,0,0,0,0,3,9,4,2,3,9,5,2,"Coahuila de Zaragoza"
"59",5027,"Ramos Arizpe",103252,1.531,19.922,11.861,0.381,23.036,5.38,10.61,2.2,16.81,1.43,16.47,26.4,4.86,-1.26,"Muy bajo",0,0,7,5,22,41,50,33,81,85,112,178,72,35,35,33,14,24,121,521,320,123,81,72,5,83,"Coahuila de Zaragoza"
"60",5028,"Sabinas",69500,6.559,24.24,8.854,0.37,27.636,5.79,14.32,1.74,20.64,1.27,14.66,29.3,6.13,-1.27,"Muy bajo",0,0,1,19,283,345,240,144,210,254,362,327,85,15,15,5,26,24,92,312,239,268,239,220,5,70,"Coahuila de Zaragoza"
"61",5029,"Sacramento",2614,4.1,17.277,11.695,0.507,14.63,0,0,0,16.63,1.96,24.09,37.13,5.51,-1.16,"Muy bajo",0,0,8,12,7,13,26,11,30,15,16,27,6,2,2,0,0,0,1,1,8,2,2,7,5,1,"Coahuila de Zaragoza"
"62",5030,"Saltillo",869184,1.541,21.616,13.403,0.375,128.705,3.79,4.23,1.75,17.63,1.55,17.98,27.42,4.23,-1.38,"Muy bajo",0,17,38,121,579,1202,2194,1233,2100,1386,1509,2537,851,470,470,250,227,357,1535,4188,2342,1481,984,719,5,1288,"Coahuila de Zaragoza"
"63",5031,"San Buenaventura",25820,5.445,21.553,12.558,0.345,7.018,4.01,0,1.59,23.11,1.94,18.2,33.87,5.34,-1.29,"Muy bajo",0,0,1,2,9,42,48,55,28,39,54,51,12,6,6,2,0,1,47,107,88,52,102,161,5,25,"Coahuila de Zaragoza"
"64",5032,"San Juan de Sabinas",47315,6.969,27.367,5.762,0.371,57.465,4.5,8.94,2.06,22.41,1.31,10.69,26.05,6.36,-1.25,"Muy bajo",0,0,3,9,201,337,281,133,158,222,296,226,50,3,3,7,1,3,59,146,64,102,171,120,5,57,"Coahuila de Zaragoza"
"65",5033,"San Pedro",117370,4.523,27.7,12.92,0.456,10.163,10.64,7.02,0.72,41.38,7.09,32.21,46.87,4.59,-0.95,"Muy bajo",0,0,9,101,338,374,125,57,170,310,249,305,136,27,27,21,11,7,26,104,186,198,349,445,5,81,"Coahuila de Zaragoza"
"66",5034,"Sierra Mojada",7740,3.021,12.295,10.561,0.345,0.968,0,0,3.63,25.5,1.87,4.04,33.4,5.98,-1.04,"Muy bajo",0,0,0,0,0,1,3,0,36,9,2,1,3,2,2,0,0,0,0,0,0,0,0,0,5,4,"Coahuila de Zaragoza"
"67",5035,"Torreon",744247,3.207,27.917,21.648,0.414,370.102,11.44,15.19,1.72,26,2.71,26.13,38.94,4.8,-1.33,"Muy bajo",1,8,47,498,1750,1711,1335,918,2965,3386,1816,1322,620,477,477,341,220,76,492,993,991,776,1059,1147,5,1302,"Coahuila de Zaragoza"
"68",5036,"Viesca",23781,6.203,20.639,18.599,0.464,4.83,0,8.44,0,43.25,6.86,35.98,51.38,7.18,-0.59,"Bajo",0,0,0,3,5,20,14,1,4,22,9,21,9,0,0,3,1,1,7,9,3,11,5,2,5,4,"Coahuila de Zaragoza"
"69",5037,"Villa Union",6859,12.5,20.022,9.997,0.337,4.017,15.1,14.98,0,26.59,2.53,25.71,47.3,4.69,-1.1,"Muy bajo",0,0,0,0,19,51,78,5,23,20,6,36,14,1,1,1,0,3,7,18,27,8,3,12,5,5,"Coahuila de Zaragoza"
"70",5038,"Zaragoza",14203,10.935,22.356,12.295,0.387,1.605,22.25,14.71,0,32.78,2.27,21.04,51.14,5.37,-0.91,"Muy bajo",0,0,0,1,11,25,41,4,22,49,87,107,25,7,7,0,0,0,13,42,17,9,4,15,5,16,"Coahuila de Zaragoza"
"71",6001,"Armeria",32363,14.661,29.015,7.368,0.38,80.872,183.91,154.52,0.4,38.43,4.14,10.22,64.25,8.26,-0.49,"Bajo",0,0,0,6,7,27,29,25,19,11,9,23,8,0,0,14,7,5,48,242,139,24,2,1,6,27,"Colima"
"72",6002,"Colima",169188,7.512,32.266,13.894,0.421,235.031,47.01,54.61,2.78,24.96,2.23,19.36,44.11,4.06,-1.16,"Muy bajo",0,2,2,13,43,335,581,397,383,195,201,454,232,133,133,157,274,145,989,2805,1626,576,98,109,6,711,"Colima"
"73",6003,"Comala",23902,7.357,29.446,11.47,0.416,85.246,12.95,8.53,0,46.39,7.92,17.97,68.99,5.19,-0.72,"Muy bajo",0,0,0,0,3,18,20,16,16,10,4,28,12,5,5,2,10,4,30,74,62,14,6,5,6,22,"Colima"
"74",6004,"Coquimatlan",22167,11.368,28.78,10.244,0.394,65.075,135.12,84.35,0,44.04,6.09,24.49,62.68,6.26,-0.65,"Bajo",0,0,0,4,3,31,39,24,35,7,4,18,13,2,2,7,6,3,72,292,160,52,5,5,6,13,"Colima"
"75",6005,"Cuauhtemoc",32829,6.752,20.658,7.149,0.381,83.781,30.28,36.58,1.31,29.08,1.85,16.05,47.82,5.87,-0.88,"Muy bajo",0,1,0,5,2,28,45,29,42,20,34,81,48,32,32,13,10,8,50,183,128,62,14,7,6,37,"Colima"
"76",6006,"Ixtlahuacan",6078,11.925,27.516,3.492,0.38,11.997,33.37,49.45,0,41.78,6.36,4.36,75.99,3.99,-0.42,"Bajo",0,0,0,0,5,13,25,20,33,11,2,9,1,0,0,0,0,0,4,58,55,17,1,0,6,5,"Colima"
"77",6007,"Manzanillo",203306,5.294,27.51,13.874,0.382,121.028,101.91,126.49,2.21,24.74,1.63,19.61,41.73,5.94,-1.09,"Muy bajo",0,2,18,96,300,375,432,328,301,151,191,395,265,100,100,116,73,130,1781,2665,517,97,14,44,6,240,"Colima"
"78",6008,"Minatitlan",9670,10.573,21.185,6.221,0.389,47.675,76.12,107.28,2.87,28,3.12,7.2,39.21,5.86,-0.62,"Bajo",0,0,1,0,0,9,15,14,2,1,3,4,7,3,3,1,1,1,18,80,48,19,0,1,6,6,"Colima"
"79",6009,"Tecoman",134631,7.908,26.651,11.865,0.396,144.013,156.04,115.38,1.02,37.89,5.54,19.82,58.92,10.69,-0.49,"Bajo",0,0,1,13,74,363,244,190,138,77,88,97,68,25,25,18,41,59,410,2179,1123,120,8,13,6,110,"Colima"
"80",6010,"Villa de Alvarez",151019,5.857,32.552,13.028,0.385,349.585,26.12,33.1,0.9,19.42,0.97,20,38.6,3.21,-1.33,"Muy bajo",0,0,6,9,35,236,443,346,374,134,180,442,204,129,129,148,211,99,637,1698,1110,342,58,86,6,157,"Colima"
"81",7001,"Acacoyagua",19856,6.398,22.885,17.902,0.364,94.209,26.09,36.12,0,77,21.6,43.47,85.74,10.25,0.08,"Bajo",0,0,0,0,4,3,5,0,0,0,1,1,2,3,3,0,1,0,1,4,1,0,0,0,7,11,"Chiapas"
"82",7002,"Acala",34494,0.899,22.164,9.512,0.413,71.578,0,13.81,0.65,77.52,28.11,32.45,79.32,12.03,-0.03,"Bajo",0,0,0,14,4,4,2,0,0,1,1,4,0,0,0,0,1,1,1,5,4,5,0,0,7,29,"Chiapas"
"83",7003,"Acapetahua",31069,5.706,25.391,20.902,0.362,75.137,3.18,25.15,0.44,57.94,11.76,43.72,81.24,9.46,0.04,"Bajo",0,0,0,0,11,2,1,0,0,0,0,2,1,4,4,0,4,2,5,8,2,0,0,0,7,22,"Chiapas"
"84",7004,"Altamirano",35982,0.71,16.452,15.779,0.521,32.286,0,11.18,0,94.64,44.63,32.83,82.83,14.22,1.42,"Alto",0,0,3,4,13,10,1,1,1,0,4,1,0,1,1,2,0,0,3,2,3,4,0,1,7,11,"Chiapas"
"85",7005,"Amatan",21836,0.375,13.24,5.262,0.364,224.881,8.51,25.23,0,90.44,38.2,41.07,93.26,10.4,1.26,"Alto",0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,8,2,1,0,0,7,6,"Chiapas"
"86",7006,"Amatenango de la Frontera",33860,9.54,23.528,11.467,0.381,185.585,0,14.48,0,80.31,20.22,32.81,87.42,9.4,0.23,"Medio",0,0,0,0,4,1,3,2,4,3,0,1,0,2,2,0,0,0,2,4,11,8,4,1,7,5,"Chiapas"
"87",7007,"Amatenango del Valle",10779,0.093,15.682,16.917,0.429,47.809,0,10.53,0,94.27,42.92,25.8,81.99,14.57,2.32,"Muy alto",0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,0,8,3,1,0,7,1,"Chiapas"
"88",7008,"Angel Albino Corzo",30925,2.264,24.066,11.342,0.446,18.255,3.65,3.62,1.04,84.96,29.32,36.6,90.52,11.3,0.52,"Medio",0,0,0,1,0,5,3,1,0,2,2,2,0,3,3,1,0,0,2,6,15,2,1,1,7,26,"Chiapas"
"89",7009,"Arriaga",44264,3.357,32.996,16.633,0.417,62.994,20.91,20.77,0.94,62.1,15.07,46.37,70.76,6.46,-0.43,"Bajo",0,0,3,29,19,8,6,2,3,3,4,4,2,2,2,6,2,6,17,35,9,3,0,2,7,57,"Chiapas"
"90",7010,"Bejucal de Ocampo",8324,4.567,17.461,7.099,0.385,89.817,0,0,0,93.88,28.79,25.33,91.07,8.01,0.68,"Medio",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,7,1,"Chiapas"
"91",7011,"Bella Vista",22028,3.976,17.812,6.519,0.366,176.816,0,4.62,0,82.62,19.61,11.42,76.28,7.18,0.61,"Medio",0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,5,3,1,0,7,6,"Chiapas"
"92",7012,"Berriozabal",56971,0.612,21.259,24.189,0.444,214.724,3.79,18.7,0,61.64,21.06,53.77,75.01,12.61,0.05,"Bajo",0,0,3,23,23,10,5,3,1,0,10,22,15,3,3,4,4,14,32,46,21,7,0,1,7,45,"Chiapas"
"93",7013,"Bochil",38101,0.595,16.951,14.224,0.538,99.901,8.54,5.62,0.83,78.28,34.65,47.32,69.23,8.1,0.68,"Medio",0,0,0,4,27,9,1,3,0,0,0,1,1,0,0,0,0,1,12,23,17,6,4,0,7,28,"Chiapas"
"94",7014,"El Bosque",24374,1.559,14.512,15.677,0.402,100.718,0,0,0,96.27,47.6,14.49,83.31,13.99,1.3,"Alto",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,7,3,"Chiapas"
"95",7015,"Cacahoatan",50439,5,28.888,23.751,0.441,288,22.77,14.35,0.58,76.63,29.63,60.73,79.95,6.9,-0.22,"Bajo",0,0,5,5,17,11,5,4,2,0,0,5,3,5,5,7,8,5,12,33,14,6,1,0,7,45,"Chiapas"
